Date,Open,High,Low,Close,Adj Close,Volume
2020-11-03,27138.689453,27640.210938,27138.689453,27480.029297,27480.029297,350980000
2020-11-04,27512.830078,28301.500000,27512.830078,27847.660156,27847.660156,447860000
2020-11-05,28083.369141,28495.050781,28083.369141,28390.179688,28390.179688,390140000
2020-11-06,28399.130859,28431.960938,28189.500000,28323.400391,28323.400391,326710000
2020-11-09,29467.900391,29933.830078,29130.660156,29157.970703,29157.970703,673310000
2020-11-10,29254.169922,29478.859375,29126.990234,29420.919922,29420.919922,526980000
2020-11-11,29524.349609,29593.109375,29281.220703,29397.630859,29397.630859,376700000
2020-11-12,29231.910156,29311.830078,28902.130859,29080.169922,29080.169922,369320000
2020-11-13,29203.900391,29559.250000,29203.900391,29479.810547,29479.810547,348810000
2020-11-16,29672.359375,29964.289063,29672.359375,29950.439453,29950.439453,418290000
2020-11-17,29800.150391,29872.419922,29520.289063,29783.349609,29783.349609,372380000
2020-11-18,29875.400391,29930.849609,29432.839844,29438.419922,29438.419922,382850000
2020-11-19,29370.919922,29524.900391,29228.380859,29483.230469,29483.230469,331330000
2020-11-20,29437.570313,29469.890625,29231.199219,29263.480469,29263.480469,305350000
2020-11-23,29332.820313,29667.750000,29332.820313,29591.269531,29591.269531,387200000
2020-11-24,29746.109375,30116.509766,29746.109375,30046.240234,30046.240234,432760000
2020-11-25,30058.869141,30058.869141,29806.250000,29872.470703,29872.470703,323030000
2020-11-27,29911.330078,30015.130859,29819.980469,29910.369141,29910.369141,177040000
2020-11-30,29854.509766,29854.509766,29463.640625,29638.640625,29638.640625,551350000
2020-12-01,29797.500000,30083.310547,29797.500000,29823.919922,29823.919922,429510000
2020-12-02,29695.089844,29902.509766,29599.289063,29883.789063,29883.789063,385280000
